GENERATION,SHEET_YEAR,COLUMN_INDEX,COLUMN_LETTER,GROUP_HEADER,SOURCE_HEADER,SAMPLE_LOAD_ID
2024-89col,2024,25,Z,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-07-01T00:00:00,811
2024-89col,2024,26,AA,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-08-01T00:00:00,811
2024-89col,2024,27,AB,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-09-01T00:00:00,811
2024-89col,2024,28,AC,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-10-01T00:00:00,811
2024-89col,2024,29,AD,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-11-01T00:00:00,811
2024-89col,2024,30,AE,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-12-01T00:00:00,811
2024-89col,2024,31,AF,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-01-01T00:00:00,811
2024-89col,2024,32,AG,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-02-01T00:00:00,811
2024-89col,2024,33,AH,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-03-01T00:00:00,811
2024-89col,2024,34,AI,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-04-01T00:00:00,811
2024-89col,2024,35,AJ,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-05-01T00:00:00,811
2024-89col,2024,36,AK,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-06-01T00:00:00,811
2024-89col,2024,37,AL,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-07-01T00:00:00,811
2024-89col,2024,38,AM,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-08-01T00:00:00,811
2024-89col,2024,39,AN,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-09-01T00:00:00,811
2024-89col,2024,40,AO,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-10-01T00:00:00,811
2024-89col,2024,41,AP,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-11-01T00:00:00,811
2024-89col,2024,42,AQ,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-12-01T00:00:00,811
2024-89col,2024,43,AR,Year-end bonus (paid in each Feb),Eligible for Year-end bonus ,811
2024-89col,2024,44,AS,Year-end bonus (paid in each Feb),Max Year-end bonus amount in 2024 (USD),811
2024-89col,2024,45,AT,Year-end bonus (paid in each Feb),Actual amount Paid in Feb 2024(USD),811
2024-89col,2024,46,AU,Half-year bonus (paid in each Sep ),Eligible for Half-year bonus ,811
2024-89col,2024,47,AV,Half-year bonus (paid in each Sep ),Max Half-year bonus amount in 2024,811
2024-89col,2024,48,AW,Half-year bonus (paid in each Sep ),Actual amount Paid in Sep 2023/ SBE paid in July (USD),811
2024-89col,2024,49,AX,13th Month slary-Cebu/SBE MX bonus   (paid in each Dec),Eligible 13th Month salary/ SBE MX Retation bonus,811
2024-89col,2024,50,AY,13th Month slary-Cebu/SBE MX bonus   (paid in each Dec),Max 13th Month salary/ SBE MX Retation bonus in 2024,811
2024-89col,2024,51,AZ,13th Month slary-Cebu/SBE MX bonus   (paid in each Dec),Currency,811
2024-89col,2024,52,BA,13th Month slary-Cebu/SBE MX bonus   (paid in each Dec),Max  amount in 2024 (USD),811
2024-89col,2024,53,BB,13th Month slary-Cebu/SBE MX bonus   (paid in each Dec),Actual Paid amount in Dec 2024(USD),811
2024-89col,2024,54,BC,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Eligible Aguinaldo bonus,811
2024-89col,2024,55,BD,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Max Aguinaldo in 2024,811
2024-89col,2024,56,BE,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Currency,811
2024-89col,2024,57,BF,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Max  amount in 2024 (USD),811
2024-89col,2024,58,BG,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Actual Paid amount in Dec 2023(USD),811
2024-89col,2024,59,BH,Christmas Bonus (Paid in each Dec),Eligible for Christmas Bonus,811
2024-89col,2024,60,BI,Christmas Bonus (Paid in each Dec),Max Christmas Bonus in 2024,811
2024-89col,2024,61,BJ,Christmas Bonus (Paid in each Dec),Currency,811
2024-89col,2024,62,BK,Christmas Bonus (Paid in each Dec),Max Christmas Bonus in 2024 (USD),811
2024-89col,2024,63,BL,Christmas Bonus (Paid in each Dec),Actual Paid amount (Local currency),811
2024-89col,2024,64,BM,"Holiday Bonus ( France in July, NYCE in March)",Eligible for Holiday Bonus,811
2024-89col,2024,65,BN,"Holiday Bonus ( France in July, NYCE in March)",Max Holiday Bonus amount in 2024,811
2024-89col,2024,66,BO,"Holiday Bonus ( France in July, NYCE in March)",Currency,811
2024-89col,2024,67,BP,"Holiday Bonus ( France in July, NYCE in March)",Max Holiday Bonus amount in 2024 (USD),811
2024-89col,2024,68,BQ,"Holiday Bonus ( France in July, NYCE in March)",Actual Paid amount  (Local currency),811
2024-89col,2024,69,BR,"Holiday Bonus ( France in July, NYCE in March)",Actual Paid amount  (USD),811
2024-89col,2024,70,BS,Profit sharing-NYCE (Paid in each April),Eligible for Holiday Bonus,811
2024-89col,2024,71,BT,Profit sharing-NYCE (Paid in each April),Max Profit Sharing amount in 2024,811
2024-89col,2024,72,BU,Profit sharing-NYCE (Paid in each April),Currency,811
2024-89col,2024,73,BV,Profit sharing-NYCE (Paid in each April),Max Profit Sharing amount in 2024 (USD),811
2024-89col,2024,74,BW,Profit sharing-NYCE (Paid in each April),Actual Paid amount  (Local currency),811
2024-89col,2024,75,BX,CCLAB Bonus (paid in Jan),Eligible for CCLAB Bonus in 2024  (Yes / No),811
2024-89col,2024,76,BY,CCLAB Bonus (paid in Jan),MaxCCLAB Bonus amount paid in 2024 (Local currency),811
2024-89col,2024,77,BZ,CCLAB Bonus (paid in Jan),Local Currency,811
2024-89col,2024,78,CA,CCLAB Bonus (paid in Jan),Actual Bonus amount paid in 2024 (USD),811
2024-89col,2024,79,CB,Auditor Bonus (Paid Quarterly),Actual Payout in Q1,811
2024-89col,2024,80,CC,Auditor Bonus (Paid Quarterly),Actual Payout in Q2,811
2024-89col,2024,81,CD,Auditor Bonus (Paid Quarterly),Actual Payout in Q3,811
2024-89col,2024,82,CE,Auditor Bonus (Paid Quarterly),Actual Payout in Q4,811
2024-89col,2024,83,CF,Commission / Quarterly bonus 2024 (USD),Actual Payout in Q1,811
2024-89col,2024,84,CG,Commission / Quarterly bonus 2024 (USD),Actual Payout in Q2,811
2024-89col,2024,85,CH,Commission / Quarterly bonus 2024 (USD),Actual Payout in Q3,811
2024-89col,2024,86,CI,Commission / Quarterly bonus 2024 (USD),Actual Payout in Q4,811
2024-89col,2024,87,CJ,Other,Remark,811
2024-89col,2024,88,CK,Other,,811
2024-91col,2024,0,A,Employee basic data,No,723
2024-91col,2024,1,B,Employee basic data,SAP Employee ID,723
2024-91col,2024,2,C,Employee basic data,SAP Staff Name,723
2024-91col,2024,3,D,Employee basic data,Join Date,723
2024-91col,2024,4,E,Employee basic data,Termination Date,723
2024-91col,2024,5,F,Employee basic data,Division,723
2024-91col,2024,6,G,Employee basic data,BU,723
2024-91col,2024,7,H,Employee basic data,Company Code,723
2024-91col,2024,8,I,Employee basic data,Department,723
2024-91col,2024,9,J,Employee basic data,Sub-Department,723
2024-91col,2024,10,K,Employee basic data,Position,723
2024-91col,2024,11,L,Employee basic data,Team,723
2024-91col,2024,12,M,Employee basic data,QIMA Office,723
2024-91col,2024,13,N,Employee basic data,Full Time / Part time,723
2024-91col,2024,14,O,Salary detail,Current basic Salary Package,723
2024-91col,2024,15,P,Salary detail,"Monthly Allowance / KPI Bonus Entitled
/2nd part of salary/ Extra",723
2024-91col,2024,16,Q,Salary detail,"QIMA Social Charges Contribution (MPF / provident fund, housing fund,etc.)",723
2024-91col,2024,17,R,Salary detail,Current Total Monthly Salary cost,723
2024-91col,2024,18,S,Salary detail,Local Currency,723
2024-91col,2024,19,T,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-01-01T00:00:00,723
2024-91col,2024,20,U,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-02-01T00:00:00,723
2024-91col,2024,21,V,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-03-01T00:00:00,723
2024-91col,2024,22,W,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-04-01T00:00:00,723
2024-91col,2024,23,X,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-05-01T00:00:00,723
2024-91col,2024,24,Y,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-06-01T00:00:00,723
2024-91col,2024,25,Z,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-07-01T00:00:00,723
2024-91col,2024,26,AA,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-08-01T00:00:00,723
2024-91col,2024,27,AB,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-09-01T00:00:00,723
2024-91col,2024,28,AC,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-10-01T00:00:00,723
2024-91col,2024,29,AD,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-11-01T00:00:00,723
2024-91col,2024,30,AE,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-12-01T00:00:00,723
2024-91col,2024,31,AF,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-01-01T00:00:00,723
2024-91col,2024,32,AG,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-02-01T00:00:00,723
2024-91col,2024,33,AH,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-03-01T00:00:00,723
2024-91col,2024,34,AI,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-04-01T00:00:00,723
2024-91col,2024,35,AJ,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-05-01T00:00:00,723
2024-91col,2024,36,AK,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-06-01T00:00:00,723
2024-91col,2024,37,AL,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-07-01T00:00:00,723
2024-91col,2024,38,AM,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-08-01T00:00:00,723
2024-91col,2024,39,AN,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-09-01T00:00:00,723
2024-91col,2024,40,AO,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-10-01T00:00:00,723
2024-91col,2024,41,AP,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-11-01T00:00:00,723
2024-91col,2024,42,AQ,QIMA 2024 Monthly Total Salary cost (USD)--not included any bonus or commission,2024-12-01T00:00:00,723
2024-91col,2024,43,AR,Year-end bonus (paid in each Feb),Eligible for Year-end bonus ,723
2024-91col,2024,44,AS,Year-end bonus (paid in each Feb),Max Year-end bonus amount in 2024 (USD),723
2024-91col,2024,45,AT,Year-end bonus (paid in each Feb),Actual amount Paid in Feb 2024(USD),723
2024-91col,2024,46,AU,Half-year bonus (paid in each Sep ),Eligible for Half-year bonus ,723
2024-91col,2024,47,AV,Half-year bonus (paid in each Sep ),Max Half-year bonus amount in 2024,723
2024-91col,2024,48,AW,Half-year bonus (paid in each Sep ),Actual amount Paid in Sep 2023/ SBE paid in July (USD),723
2024-91col,2024,49,AX,13th Month slary-Cebu/SBE MX bonus   (paid in each Dec),Eligible 13th Month salary/ SBE MX Retation bonus,723
2024-91col,2024,50,AY,13th Month slary-Cebu/SBE MX bonus   (paid in each Dec),Max 13th Month salary/ SBE MX Retation bonus in 2024,723
2024-91col,2024,51,AZ,13th Month slary-Cebu/SBE MX bonus   (paid in each Dec),Currency,723
2024-91col,2024,52,BA,13th Month slary-Cebu/SBE MX bonus   (paid in each Dec),Max  amount in 2024 (USD),723
2024-91col,2024,53,BB,13th Month slary-Cebu/SBE MX bonus   (paid in each Dec),Actual Paid amount in Dec 2024(USD),723
2024-91col,2024,54,BC,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Eligible Aguinaldo bonus,723
2024-91col,2024,55,BD,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Max Aguinaldo in 2024,723
2024-91col,2024,56,BE,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Currency,723
2024-91col,2024,57,BF,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Max  amount in 2024 (USD),723
2024-91col,2024,58,BG,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Actual Paid amount in Dec 2023(USD),723
2024-91col,2024,59,BH,Christmas Bonus (Paid in each Dec),Eligible for Christmas Bonus,723
2024-91col,2024,60,BI,Christmas Bonus (Paid in each Dec),Max Christmas Bonus in 2024,723
2024-91col,2024,61,BJ,Christmas Bonus (Paid in each Dec),Currency,723
2024-91col,2024,62,BK,Christmas Bonus (Paid in each Dec),Max Christmas Bonus in 2024 (USD),723
2024-91col,2024,63,BL,Christmas Bonus (Paid in each Dec),Actual Paid amount (Local currency),723
2024-91col,2024,64,BM,"Holiday Bonus ( France in July, NYCE in March)",Eligible for Holiday Bonus,723
2024-91col,2024,65,BN,"Holiday Bonus ( France in July, NYCE in March)",Max Holiday Bonus amount in 2024,723
2024-91col,2024,66,BO,"Holiday Bonus ( France in July, NYCE in March)",Currency,723
2024-91col,2024,67,BP,"Holiday Bonus ( France in July, NYCE in March)",Max Holiday Bonus amount in 2024 (USD),723
2024-91col,2024,68,BQ,"Holiday Bonus ( France in July, NYCE in March)",Actual Paid amount  (Local currency),723
2024-91col,2024,69,BR,"Holiday Bonus ( France in July, NYCE in March)",Actual Paid amount  (USD),723
2024-91col,2024,70,BS,Profit sharing-NYCE (Paid in each April),Eligible for Holiday Bonus,723
2024-91col,2024,71,BT,Profit sharing-NYCE (Paid in each April),Max Profit Sharing amount in 2024,723
2024-91col,2024,72,BU,Profit sharing-NYCE (Paid in each April),Currency,723
2024-91col,2024,73,BV,Profit sharing-NYCE (Paid in each April),Max Profit Sharing amount in 2024 (USD),723
2024-91col,2024,74,BW,Profit sharing-NYCE (Paid in each April),Actual Paid amount  (Local currency),723
2024-91col,2024,75,BX,CCLAB Bonus (paid in Jan),Eligible for CCLAB Bonus in 2024  (Yes / No),723
2024-91col,2024,76,BY,CCLAB Bonus (paid in Jan),MaxCCLAB Bonus amount paid in 2024 (Local currency),723
2024-91col,2024,77,BZ,CCLAB Bonus (paid in Jan),Local Currency,723
2024-91col,2024,78,CA,CCLAB Bonus (paid in Jan),Actual Bonus amount paid in 2024 (USD),723
2024-91col,2024,79,CB,Auditor Bonus (Paid Quarterly),Actual Payout in Q1,723
2024-91col,2024,80,CC,Auditor Bonus (Paid Quarterly),Actual Payout in Q2,723
2024-91col,2024,81,CD,Auditor Bonus (Paid Quarterly),Actual Payout in Q3,723
2024-91col,2024,82,CE,Auditor Bonus (Paid Quarterly),Actual Payout in Q4,723
2024-91col,2024,83,CF,Commission / Quarterly bonus 2024 (USD),Actual Payout in Q1,723
2024-91col,2024,84,CG,Commission / Quarterly bonus 2024 (USD),Actual Payout in Q2,723
2024-91col,2024,85,CH,Commission / Quarterly bonus 2024 (USD),Actual Payout in Q3,723
2024-91col,2024,86,CI,Commission / Quarterly bonus 2024 (USD),Actual Payout in Q4,723
2024-91col,2024,87,CJ,Other,Remark,723
2024-91col,2024,88,CK,Other,,723
2024-91col,2024,89,CL,Other,,723
2024-91col,2024,90,CM,Other,,723
2025-91col,2025,0,A,Employee basic data,No,813
2025-91col,2025,1,B,Employee basic data,Employee SAP ID,813
2025-91col,2025,2,C,Employee basic data,SAP Staff Name,813
2025-91col,2025,3,D,Employee basic data,Join Date,813
2025-91col,2025,4,E,Employee basic data,Leave Date,813
2025-91col,2025,5,F,Employee basic data,Division,813
2025-91col,2025,6,G,Employee basic data,Business Unit,813
2025-91col,2025,7,H,Employee basic data,Subsidiary,813
2025-91col,2025,8,I,Employee basic data,Department,813
2025-91col,2025,9,J,Employee basic data,Sub-Department,813
2025-91col,2025,10,K,Employee basic data,Position,813
2025-91col,2025,11,L,Employee basic data,Team,813
2025-91col,2025,12,M,Employee basic data,Office,813
2025-91col,2025,13,N,Employee basic data,Contract,813
2025-91col,2025,14,O,Employee basic data,Country of Residence,813
2025-91col,2025,15,P,Salary detail,Current Monthly basic Salary Package (Local currency),813
2025-91col,2025,16,Q,Salary detail,Monthly Allowance / KPI Bonus Entitled / 2nd part of salary / Extra,813
2025-91col,2025,17,R,Salary detail,"QIMA Social Charges (MPF / provident fund, housing fund,etc.)",813
2025-91col,2025,18,S,Salary detail,Current Total Monthly Salary cost (Local currency),813
2025-91col,2025,19,T,Salary detail,Local Currency,813
2025-91col,2025,20,U,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Jan-2025 (LC),813
2025-91col,2025,21,V,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Feb-2025 (LC),813
2025-91col,2025,22,W,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Mar-2025 (LC),813
2025-91col,2025,23,X,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Apr-2025 (LC),813
2025-91col,2025,24,Y,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,May-2025 (LC),813
2025-91col,2025,25,Z,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Jun-2025 (LC),813
2025-91col,2025,26,AA,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Jul-2025 (LC),813
2025-91col,2025,27,AB,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Aug-2025 (LC),813
2025-91col,2025,28,AC,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Sep-2025 (LC),813
2025-91col,2025,29,AD,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Oct-2025 (LC),813
2025-91col,2025,30,AE,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Nov-2025 (LC),813
2025-91col,2025,31,AF,QIMA 2025 Monthly Total Salary cost (local Currency)--not included any bonus or commission,Dec-2025 (LC),813
2025-91col,2025,32,AG,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Jan-2025 (USD),813
2025-91col,2025,33,AH,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Feb-2025 (USD),813
2025-91col,2025,34,AI,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Mar-2025 (USD),813
2025-91col,2025,35,AJ,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Apr-2025 (USD),813
2025-91col,2025,36,AK,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,May-2025 (USD),813
2025-91col,2025,37,AL,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Jun-2025 (USD),813
2025-91col,2025,38,AM,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Jul-2025 (USD),813
2025-91col,2025,39,AN,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Aug-2025 (USD),813
2025-91col,2025,40,AO,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Sep-2025 (USD),813
2025-91col,2025,41,AP,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Oct-2025 (USD),813
2025-91col,2025,42,AQ,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Nov-2025 (USD),813
2025-91col,2025,43,AR,QIMA 2025 Monthly Total Salary cost (USD)--not included any bonus or commission,Dec-2025 (USD),813
2025-91col,2025,44,AS,Year-end bonus (paid in each Feb),Eligible for Year-end bonus ,813
2025-91col,2025,45,AT,Year-end bonus (paid in each Feb),Max Year-end bonus amount in 2025 (USD),813
2025-91col,2025,46,AU,Year-end bonus (paid in each Feb),Actual amount Paid in Feb 2025(USD),813
2025-91col,2025,47,AV,Half-year bonus (paid in each Sep ),Eligible for Half-year bonus ,813
2025-91col,2025,48,AW,Half-year bonus (paid in each Sep ),Max Half-year bonus amount in 2025,813
2025-91col,2025,49,AX,Half-year bonus (paid in each Sep ),Actual amount Paid in Sep 2025/ SBE paid in July (USD),813
2025-91col,2025,50,AY,13th Month salary-Cebu/SBE MX bonus (paid in each Dec),Eligible for 13th Month salary/ SBE MX Retation bonus,813
2025-91col,2025,51,AZ,13th Month salary-Cebu/SBE MX bonus (paid in each Dec),Max 13th Month salary/ SBE MX Retation bonus in 2025 (LC),813
2025-91col,2025,52,BA,13th Month salary-Cebu/SBE MX bonus (paid in each Dec),Currency (13th Month salary),813
2025-91col,2025,53,BB,13th Month salary-Cebu/SBE MX bonus (paid in each Dec),Max  amount in 2025 (USD),813
2025-91col,2025,54,BC,13th Month salary-Cebu/SBE MX bonus (paid in each Dec),Actual Paid amount in Dec 2025 (USD),813
2025-91col,2025,55,BD,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Eligible for Aguinaldo bonus,813
2025-91col,2025,56,BE,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Max Aguinaldo in 2025 (LC),813
2025-91col,2025,57,BF,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Currency (Aguinaldo),813
2025-91col,2025,58,BG,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Max  amount in 2025 (USD),813
2025-91col,2025,59,BH,Aguinaldo amount paid in Dec- Mandatory in SBE MX,Actual Paid amount in Dec 2025(USD),813
2025-91col,2025,60,BI,Christmas Bonus (Paid in each Dec),Eligible for Christmas Bonus,813
2025-91col,2025,61,BJ,Christmas Bonus (Paid in each Dec),Max Christmas Bonus in 2025 (LC),813
2025-91col,2025,62,BK,Christmas Bonus (Paid in each Dec),Currency (Christmas Bonus),813
2025-91col,2025,63,BL,Christmas Bonus (Paid in each Dec),Max Christmas Bonus in 2025 (USD),813
2025-91col,2025,64,BM,Christmas Bonus (Paid in each Dec),Actual Paid amount (Local currency),813
2025-91col,2025,65,BN,"Holiday Bonus ( France in July, NYCE in March)",Eligible for Holiday Bonus,813
2025-91col,2025,66,BO,"Holiday Bonus ( France in July, NYCE in March)",Max Holiday Bonus amount in 2025 (LC),813
2025-91col,2025,67,BP,"Holiday Bonus ( France in July, NYCE in March)",Currency (Holiday Bonus),813
2025-91col,2025,68,BQ,"Holiday Bonus ( France in July, NYCE in March)",Max Holiday Bonus amount in 2025 (USD),813
2025-91col,2025,69,BR,"Holiday Bonus ( France in July, NYCE in March)",Actual Paid amount  (Local currency),813
2025-91col,2025,70,BS,"Holiday Bonus ( France in July, NYCE in March)",Actual Paid amount  (USD),813
2025-91col,2025,71,BT,Profit sharing-NYCE (Paid in each April),Eligible for Holiday Bonus,813
2025-91col,2025,72,BU,Profit sharing-NYCE (Paid in each April),Max Profit Sharing amount in 2025 (LC),813
2025-91col,2025,73,BV,Profit sharing-NYCE (Paid in each April),Currency (Profit Sharing),813
2025-91col,2025,74,BW,Profit sharing-NYCE (Paid in each April),Max Profit Sharing amount in 2025 (USD),813
2025-91col,2025,75,BX,Profit sharing-NYCE (Paid in each April),Actual Paid amount  (Local currency),813
2025-91col,2025,76,BY,CCLAB Bonus (paid in Jan),Eligible for CCLAB Bonus in 2025  (Yes / No),813
2025-91col,2025,77,BZ,CCLAB Bonus (paid in Jan),MaxCCLAB Bonus amount paid in 2025 (Local currency),813
2025-91col,2025,78,CA,CCLAB Bonus (paid in Jan),Currency (CCLAB bonus),813
2025-91col,2025,79,CB,CCLAB Bonus (paid in Jan),Actual Bonus amount paid in 2025 (USD),813
2025-91col,2025,80,CC,Auditor Bonus (Paid Quarterly),Actual Payout in Q1 (USD),813
2025-91col,2025,81,CD,Auditor Bonus (Paid Quarterly),Actual Payout in Q2 (USD),813
2025-91col,2025,82,CE,Auditor Bonus (Paid Quarterly),Actual Payout in Q3 (USD),813
2025-91col,2025,83,CF,Auditor Bonus (Paid Quarterly),Actual Payout in Q4 (USD),813
2025-91col,2025,84,CG,Commission / Quarterly bonus 2025 (USD),Actual Payout in Q1 (USD),813
2025-91col,2025,85,CH,Commission / Quarterly bonus 2025 (USD),Actual Payout in Q2 (USD),813
2025-91col,2025,86,CI,Commission / Quarterly bonus 2025 (USD),Actual Payout in Q3 (USD),813
2025-91col,2025,87,CJ,Commission / Quarterly bonus 2025 (USD),Actual Payout in Q4 (USD),813
2025-91col,2025,88,CK,Other,Remark,813
2025-91col,2025,89,CL,External HC,Agency Name,813
2025-91col,2025,90,CM,External HC,Agency Fee,813
2025-95col,2025,0,A,Employee basic data,No,723
2025-95col,2025,1,B,Employee basic data,Employee SAP ID,723
2025-95col,2025,2,C,Employee basic data,SAP Staff Name,723
2025-95col,2025,3,D,Employee basic data,Join Date,723
2025-95col,2025,4,E,Employee basic data,Leave Date,723
2025-95col,2025,5,F,Employee basic data,Division,723
2025-95col,2025,6,G,Employee basic data,Business Unit,723
2025-95col,2025,7,H,Employee basic data,Subsidiary,723
2025-95col,2025,8,I,Employee basic data,Department,723
2025-95col,2025,9,J,Employee basic data,Sub-Department,723
2025-95col,2025,10,K,Employee basic data,Position,723
2025-95col,2025,11,L,Employee basic data,Team,723
